Source_Object_Type,Source_Object,Azure_PostgreSQL_Object_Type,Azure_PostgreSQL_Object,Status,Action_Required,Error_Message
FUNCTION,CONTOSO.FN_GEN_PRICE_011_AT,FUNCTION,contoso.fn_gen_price_011_at(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_012_CH,FUNCTION,contoso.fn_gen_price_012_ch(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_013_DK,FUNCTION,contoso.fn_gen_price_013_dk(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_014_SE,FUNCTION,contoso.fn_gen_price_014_se(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_015_NO,FUNCTION,contoso.fn_gen_price_015_no(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_016_FI,FUNCTION,contoso.fn_gen_price_016_fi(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_017_IS,FUNCTION,contoso.fn_gen_price_017_is(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_018_PL,FUNCTION,contoso.fn_gen_price_018_pl(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_019_CZ,FUNCTION,contoso.fn_gen_price_019_cz(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_020_SK,FUNCTION,contoso.fn_gen_price_020_sk(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_021_HU,FUNCTION,contoso.fn_gen_price_021_hu(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_022_RO,FUNCTION,contoso.fn_gen_price_022_ro(),Not-Converted,yes,"Convert the required dependency first. Azure PostgreSQL code passed the compilation check, but this object is not included in the deployment script because it depends on a temporary version of the required dependency. Convert the dependency, then run conversion again and confirm that this object is included. Reference: CVT-242"
FUNCTION,CONTOSO.FN_GEN_PRICE_023_BG,FUNCTION,contoso.fn_gen_price_023_bg(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_024_GR,FUNCTION,contoso.fn_gen_price_024_gr(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_025_HR,FUNCTION,contoso.fn_gen_price_025_hr(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_026_SI,FUNCTION,contoso.fn_gen_price_026_si(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_027_EE,FUNCTION,contoso.fn_gen_price_027_ee(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_028_LV,FUNCTION,contoso.fn_gen_price_028_lv(),Not-Converted,yes,"Convert the required dependency first. Azure PostgreSQL code passed the compilation check, but this object is not included in the deployment script because it depends on a temporary version of the required dependency. Convert the dependency, then run conversion again and confirm that this object is included. Reference: CVT-242"
FUNCTION,CONTOSO.FN_GEN_PRICE_029_LT,FUNCTION,contoso.fn_gen_price_029_lt(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_030_US,FUNCTION,contoso.fn_gen_price_030_us(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_031_CA,FUNCTION,contoso.fn_gen_price_031_ca(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_032_MX,FUNCTION,contoso.fn_gen_price_032_mx(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_033_BR,FUNCTION,contoso.fn_gen_price_033_br(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_034_AR,FUNCTION,contoso.fn_gen_price_034_ar(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_035_CL,FUNCTION,contoso.fn_gen_price_035_cl(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_036_AU,FUNCTION,contoso.fn_gen_price_036_au(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_037_NZ,FUNCTION,contoso.fn_gen_price_037_nz(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_038_JP,FUNCTION,contoso.fn_gen_price_038_jp(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_039_SG,FUNCTION,contoso.fn_gen_price_039_sg(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_040_ZA,FUNCTION,contoso.fn_gen_price_040_za(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_001_GB,FUNCTION,contoso.fn_gen_tax_001_gb(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_002_IE,FUNCTION,contoso.fn_gen_tax_002_ie(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_003_FR,FUNCTION,contoso.fn_gen_tax_003_fr(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_004_DE,FUNCTION,contoso.fn_gen_tax_004_de(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_005_ES,FUNCTION,contoso.fn_gen_tax_005_es(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_006_IT,FUNCTION,contoso.fn_gen_tax_006_it(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_007_PT,FUNCTION,contoso.fn_gen_tax_007_pt(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_008_NL,FUNCTION,contoso.fn_gen_tax_008_nl(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_009_BE,FUNCTION,contoso.fn_gen_tax_009_be(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_010_LU,FUNCTION,contoso.fn_gen_tax_010_lu(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_011_AT,FUNCTION,contoso.fn_gen_tax_011_at(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_012_CH,FUNCTION,contoso.fn_gen_tax_012_ch(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_013_DK,FUNCTION,contoso.fn_gen_tax_013_dk(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_014_SE,FUNCTION,contoso.fn_gen_tax_014_se(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_015_NO,FUNCTION,contoso.fn_gen_tax_015_no(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_016_FI,FUNCTION,contoso.fn_gen_tax_016_fi(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_017_IS,FUNCTION,contoso.fn_gen_tax_017_is(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_018_PL,FUNCTION,contoso.fn_gen_tax_018_pl(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_019_CZ,FUNCTION,contoso.fn_gen_tax_019_cz(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_020_SK,FUNCTION,contoso.fn_gen_tax_020_sk(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_021_HU,FUNCTION,contoso.fn_gen_tax_021_hu(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_022_RO,FUNCTION,contoso.fn_gen_tax_022_ro(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_023_BG,FUNCTION,contoso.fn_gen_tax_023_bg(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_024_GR,FUNCTION,contoso.fn_gen_tax_024_gr(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_025_HR,FUNCTION,contoso.fn_gen_tax_025_hr(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_026_SI,FUNCTION,contoso.fn_gen_tax_026_si(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_027_EE,FUNCTION,contoso.fn_gen_tax_027_ee(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_028_LV,FUNCTION,contoso.fn_gen_tax_028_lv(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_029_LT,FUNCTION,contoso.fn_gen_tax_029_lt(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_030_US,FUNCTION,contoso.fn_gen_tax_030_us(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_031_CA,FUNCTION,contoso.fn_gen_tax_031_ca(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_032_MX,FUNCTION,contoso.fn_gen_tax_032_mx(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_033_BR,FUNCTION,contoso.fn_gen_tax_033_br(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_034_AR,FUNCTION,contoso.fn_gen_tax_034_ar(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_TAX_035_CL,FUNCTION,contoso.fn_gen_tax_035_cl(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_036_AU,FUNCTION,contoso.fn_gen_tax_036_au(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_037_NZ,FUNCTION,contoso.fn_gen_tax_037_nz(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_038_JP,FUNCTION,contoso.fn_gen_tax_038_jp(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_039_SG,FUNCTION,contoso.fn_gen_tax_039_sg(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_TAX_040_ZA,FUNCTION,contoso.fn_gen_tax_040_za(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_AMOUNT_001,FUNCTION,contoso.fn_gen_valid_amount_001(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_AMOUNT_011,FUNCTION,contoso.fn_gen_valid_amount_011(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_AMOUNT_021,FUNCTION,contoso.fn_gen_valid_amount_021(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_CODE_004,FUNCTION,contoso.fn_gen_valid_code_004(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_CODE_014,FUNCTION,contoso.fn_gen_valid_code_014(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_CODE_024,FUNCTION,contoso.fn_gen_valid_code_024(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_EAN13_005,FUNCTION,contoso.fn_gen_valid_ean13_005(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_EAN13_015,FUNCTION,contoso.fn_gen_valid_ean13_015(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_EAN13_025,FUNCTION,contoso.fn_gen_valid_ean13_025(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_ENUM_007,FUNCTION,contoso.fn_gen_valid_enum_007(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_ENUM_017,FUNCTION,contoso.fn_gen_valid_enum_017(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_ENUM_027,FUNCTION,contoso.fn_gen_valid_enum_027(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_ISO2_006,FUNCTION,contoso.fn_gen_valid_iso2_006(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_ISO2_016,FUNCTION,contoso.fn_gen_valid_iso2_016(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_ISO2_026,FUNCTION,contoso.fn_gen_valid_iso2_026(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_PCT_003,FUNCTION,contoso.fn_gen_valid_pct_003(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_PCT_013,FUNCTION,contoso.fn_gen_valid_pct_013(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_PCT_023,FUNCTION,contoso.fn_gen_valid_pct_023(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_QTY_002,FUNCTION,contoso.fn_gen_valid_qty_002(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_QTY_012,FUNCTION,contoso.fn_gen_valid_qty_012(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_QTY_022,FUNCTION,contoso.fn_gen_valid_qty_022(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_RATIO_010,FUNCTION,contoso.fn_gen_valid_ratio_010(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_RATIO_020,FUNCTION,contoso.fn_gen_valid_ratio_020(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_RATIO_030,FUNCTION,contoso.fn_gen_valid_ratio_030(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_TEXT_009,FUNCTION,contoso.fn_gen_valid_text_009(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_TEXT_019,FUNCTION,contoso.fn_gen_valid_text_019(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_TEXT_029,FUNCTION,contoso.fn_gen_valid_text_029(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_VALID_WINDOW_008,FUNCTION,contoso.fn_gen_valid_window_008(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_WINDOW_018,FUNCTION,contoso.fn_gen_valid_window_018(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_VALID_WINDOW_028,FUNCTION,contoso.fn_gen_valid_window_028(),Converted,no,
FUNCTION,CONTOSO.FN_LOCATION_DEPTH,FUNCTION,contoso.fn_location_depth(),Converted,no,
FUNCTION,CONTOSO.FN_MANAGER_CHAIN,FUNCTION,contoso.fn_manager_chain(),Converted,no,
FUNCTION,CONTOSO.FN_MASK_EMAIL,FUNCTION,contoso.fn_mask_email(),Converted,no,
FUNCTION,CONTOSO.FN_NORMALISE_SKU,FUNCTION,contoso.fn_normalise_sku(),Converted,no,
FUNCTION,CONTOSO.FN_ORDER_LINE_COUNT,FUNCTION,contoso.fn_order_line_count(),Converted,no,
FUNCTION,CONTOSO.FN_SPLIT_CSV,FUNCTION,contoso.fn_split_csv(),Not-Converted,yes,"Review and correct the generated code. Best-effort Azure PostgreSQL code was generated, but it is not included in the deployment script and its behavior is unverified. Compare it with the source, correct it, and test it before deploying separately. Reference: CVT-366"
FUNCTION,CONTOSO.FN_STORE_LOCAL_TIME,FUNCTION,contoso.fn_store_local_time(),Converted,no,
FUNCTION,CONTOSO.FN_TIER_FOR_POINTS,FUNCTION,contoso.fn_tier_for_points(),Converted,yes,
FUNCTION,CONTOSO.FN_VPD_CUSTOMER_PREDICATE,FUNCTION,contoso.fn_vpd_customer_predicate(),Converted,no,
FUNCTION,CONTOSO.FN_VPD_PII_PREDICATE,FUNCTION,contoso.fn_vpd_pii_predicate(),Converted,no,
FUNCTION,CONTOSO.FN_VPD_SALES_PREDICATE,FUNCTION,contoso.fn_vpd_sales_predicate(),Converted,no,
FUNCTION,CONTOSO.FN_WORKING_DAYS_BETWEEN,FUNCTION,contoso.fn_working_days_between(),Converted,no,
INDEX,CONTOSO.FBI_ADDRESS_NORM_KEY,INDEX,contoso.fbi_address_norm_key,Not-Converted,yes,"Convert the required dependency first. Azure PostgreSQL code passed the compilation check, but this object is not included in the deployment script because it depends on a temporary version of the required dependency. Convert the dependency, then run conversion again and confirm that this object is included. Reference: CVT-242"
INDEX,CONTOSO.FBI_CUSTOMER_EMAIL_LOWER,INDEX,contoso.fbi_customer_email_lower,Converted,no,
INDEX,CONTOSO.FBI_EMPLOYEE_NAME_UPPER,INDEX,contoso.fbi_employee_name_upper,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_001,INDEX,contoso.fbi_gen_stg_001,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_002,INDEX,contoso.fbi_gen_stg_002,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_003,INDEX,contoso.fbi_gen_stg_003,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_004,INDEX,contoso.fbi_gen_stg_004,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_005,INDEX,contoso.fbi_gen_stg_005,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_006,INDEX,contoso.fbi_gen_stg_006,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_007,INDEX,contoso.fbi_gen_stg_007,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_008,INDEX,contoso.fbi_gen_stg_008,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_009,INDEX,contoso.fbi_gen_stg_009,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_010,INDEX,contoso.fbi_gen_stg_010,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_011,INDEX,contoso.fbi_gen_stg_011,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_012,INDEX,contoso.fbi_gen_stg_012,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_013,INDEX,contoso.fbi_gen_stg_013,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_014,INDEX,contoso.fbi_gen_stg_014,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_015,INDEX,contoso.fbi_gen_stg_015,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_016,INDEX,contoso.fbi_gen_stg_016,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_017,INDEX,contoso.fbi_gen_stg_017,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_018,INDEX,contoso.fbi_gen_stg_018,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_019,INDEX,contoso.fbi_gen_stg_019,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_020,INDEX,contoso.fbi_gen_stg_020,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_021,INDEX,contoso.fbi_gen_stg_021,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_022,INDEX,contoso.fbi_gen_stg_022,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_023,INDEX,contoso.fbi_gen_stg_023,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_024,INDEX,contoso.fbi_gen_stg_024,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_025,INDEX,contoso.fbi_gen_stg_025,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_026,INDEX,contoso.fbi_gen_stg_026,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_027,INDEX,contoso.fbi_gen_stg_027,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_028,INDEX,contoso.fbi_gen_stg_028,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_029,INDEX,contoso.fbi_gen_stg_029,Converted,no,
INDEX,CONTOSO.FBI_GEN_STG_030,INDEX,contoso.fbi_gen_stg_030,Converted,no,
INDEX,CONTOSO.FBI_GL_JOURNAL_MONTH,INDEX,contoso.fbi_gl_journal_month,Converted,no,
INDEX,CONTOSO.FBI_INVLOC_OWNER_CODE,INDEX,contoso.fbi_invloc_owner_code,Converted,no,
INDEX,CONTOSO.FBI_PRODUCT_SKU_NORM,INDEX,contoso.fbi_product_sku_norm,Converted,no,
INDEX,CONTOSO.FBI_PRODUCT_STATUS_RANK,INDEX,contoso.fbi_product_status_rank,Not-Converted,yes,"Implement this object manually. Deployable Azure PostgreSQL code could not be generated, so the object is not included in the deployment script. Correct the Oracle source and run conversion again, or implement the Azure PostgreSQL code manually, test it, and deploy it separately. Reference: CVT-364"
INDEX,CONTOSO.FBI_PROMOTION_ACTIVE,INDEX,contoso.fbi_promotion_active,Converted,no,
INDEX,CONTOSO.FBI_STORE_CODE_UPPER,INDEX,contoso.fbi_store_code_upper,Not-Converted,yes,"Convert the required dependency first. Azure PostgreSQL code was generated, but this object is not included in the deployment script because it depends on a temporary version of the required dependency. Convert the dependency, then run conversion again and confirm that this object is included. Reference: CVT-241"
INDEX,CONTOSO.FBI_SUPPLIER_NAME_UPPER,INDEX,contoso.fbi_supplier_name_upper,Converted,no,
INDEX,CONTOSO.IX_ADDRESS_COUNTRY,INDEX,contoso.ix_address_country,Not-Converted,yes,"Convert the required dependency first. Azure PostgreSQL code passed the compilation check, but this object is not included in the deployment script because it depends on a temporary version of the required dependency. Convert the dependency, then run conversion again and confirm that this object is included. Reference: CVT-242"
INDEX,CONTOSO.IX_AUDIT_LOOKUP,INDEX,contoso.ix_audit_lookup,Converted,no,
INDEX,CONTOSO.IX_BRAND_SUPPLIER,INDEX,contoso.ix_brand_supplier,Converted,no,
INDEX,CONTOSO.IX_CARRIER_NAME,INDEX,contoso.ix_carrier_name,Converted,no,
INDEX,CONTOSO.IX_CATEGORY_PARENT,INDEX,contoso.ix_category_parent,Converted,no,
INDEX,CONTOSO.IX_COUPON_CUSTOMER,INDEX,contoso.ix_coupon_customer,Converted,no,
INDEX,CONTOSO.IX_COUPON_PROMOTION,INDEX,contoso.ix_coupon_promotion,Converted,no,
INDEX,CONTOSO.IX_CUSTADDR_ADDRESS,INDEX,contoso.ix_custaddr_address,Converted,no,
INDEX,CONTOSO.IX_CUSTOMER_COUNTRY,INDEX,contoso.ix_customer_country,Converted,no,
INDEX,CONTOSO.IX_CUSTOMER_STORE,INDEX,contoso.ix_customer_store,Converted,no,
INDEX,CONTOSO.IX_DQ_ISSUE_LOOKUP,INDEX,contoso.ix_dq_issue_lookup,Converted,no,
INDEX,CONTOSO.IX_EMPLOYEE_MANAGER,INDEX,contoso.ix_employee_manager,Converted,no,
INDEX,CONTOSO.IX_EMPLOYEE_NAME,INDEX,contoso.ix_employee_name,Converted,no,
INDEX,CONTOSO.IX_EMPLOYEE_STORE,INDEX,contoso.ix_employee_store,Converted,no,
INDEX,CONTOSO.IX_ERROR_MODULE,INDEX,contoso.ix_error_module,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_001,INDEX,contoso.ix_gen_arc_001,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_002,INDEX,contoso.ix_gen_arc_002,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_003,INDEX,contoso.ix_gen_arc_003,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_004,INDEX,contoso.ix_gen_arc_004,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_005,INDEX,contoso.ix_gen_arc_005,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_006,INDEX,contoso.ix_gen_arc_006,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_007,INDEX,contoso.ix_gen_arc_007,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_008,INDEX,contoso.ix_gen_arc_008,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_009,INDEX,contoso.ix_gen_arc_009,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_010,INDEX,contoso.ix_gen_arc_010,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_011,INDEX,contoso.ix_gen_arc_011,Converted,no,
INDEX,CONTOSO.IX_GEN_ARC_012,INDEX,contoso.ix_gen_arc_012,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_001,INDEX,contoso.ix_gen_stg_001,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_002,INDEX,contoso.ix_gen_stg_002,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_003,INDEX,contoso.ix_gen_stg_003,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_004,INDEX,contoso.ix_gen_stg_004,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_005,INDEX,contoso.ix_gen_stg_005,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_006,INDEX,contoso.ix_gen_stg_006,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_007,INDEX,contoso.ix_gen_stg_007,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_008,INDEX,contoso.ix_gen_stg_008,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_009,INDEX,contoso.ix_gen_stg_009,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_010,INDEX,contoso.ix_gen_stg_010,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_011,INDEX,contoso.ix_gen_stg_011,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_012,INDEX,contoso.ix_gen_stg_012,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_013,INDEX,contoso.ix_gen_stg_013,Converted,no,
INDEX,CONTOSO.IX_GEN_STG_014,INDEX,contoso.ix_gen_stg_014,Converted,no,
